0	0.00000	0.0000000	0.0000000	0.0000000	4.6249700	0.0000000
1	0.12256	0.5165290	0.0132215	0.2456337	-2.3877900	0.0130572
2	0.24512	1.5015100	0.1227090	0.7983134	-2.5068600	0.1211830
3	0.36768	2.1139600	0.2078570	1.1590333	-2.4350900	0.2052740
4	0.49025	2.0628600	0.2070430	1.1352269	-1.9521900	0.2044700
5	0.61281	0.8050540	0.0653445	0.4275785	-0.8854540	0.0645324
6	0.73537	0.5974920	0.0254874	0.2943289	0.0123332	0.0251707
7	0.85793	0.7465520	0.0164544	0.3523655	-0.0353345	0.0162498
8	0.98049	1.3749900	0.0709627	0.6896395	-0.7435680	0.0700808
9	1.10305	1.6583500	0.2054320	0.9516066	-1.6389600	0.2028790
10	1.22562	0.9574980	0.2772030	0.7080292	-2.0826100	0.2737580
11	1.34818	1.6643200	0.2132910	0.9621518	-1.7210900	0.2106400
12	1.47074	1.8460300	0.1047740	0.9353952	-1.8624100	0.1034720
13	1.59330	1.5422600	0.2074390	0.9013789	-1.9541200	0.2048610
14	1.71586	1.6905300	0.2392800	0.9999340	-1.5724200	0.2132370
15	1.83842	2.1750500	0.0561615	1.0348252	-1.0249900	0.0338022
